u,v,key,osmid,highway,name,oneway,reversed,length,highway_raw,cycleway_raw,cycleway,unprotected
11108383590,11108383592,0,1197172945,residential,Mondstraße,False,True,88.2701854736284,residential,,,False
11108383592,11108383590,0,1197172945,residential,Mondstraße,False,False,88.2701854736284,residential,,,False
11108383592,11892233082,0,1197172946,residential,Sonnenstraße,False,False,96.25299734715624,residential,,,False
11108389547,11108389551,0,1197172955,residential,Kalksteinstraße,False,False,67.68775277459682,residential,,,False
11108389547,11108389553,0,1197172955,residential,Kalksteinstraße,False,True,66.44670477623478,residential,,,False
11108389551,11108389562,0,1443887497,residential,Tonsteinstraße,False,True,99.99668893795263,residential,,,False
11108389551,11108389547,0,1197172955,residential,Kalksteinstraße,False,True,67.68775277459682,residential,,,False
11108389551,11892233082,0,1281280031,residential,,False,False,212.2574327295223,residential,,,False
11108389552,11108389553,0,1197172955,residential,Kalksteinstraße,False,False,100.1968552683227,residential,,,False
11108389553,11108389547,0,1197172955,residential,Kalksteinstraße,False,False,66.44670477623478,residential,,,False
11108389553,11108389552,0,1197172955,residential,Kalksteinstraße,False,True,100.1968552683227,residential,,,False
11108389553,11108389554,0,1197172956,residential,Schieferstraße,False,True,149.35170717828913,residential,,,False
11108389554,11108389553,0,1197172956,residential,Schieferstraße,False,False,149.35170717828913,residential,,,False
11108389554,11108389560,0,1197172958,residential,Buntsandsteinstraße,False,False,44.21443331370206,residential,,,False
11108389560,11108389554,0,1197172958,residential,Buntsandsteinstraße,False,True,44.21443331370206,residential,,,False
11108389562,11108389551,0,1443887497,residential,Tonsteinstraße,False,False,99.99668893795263,residential,,,False
11108389562,11108389564,0,1472061172,residential,Granitstraße,False,True,66.24518778643554,residential,,,False
11108389564,11108389562,0,1472061172,residential,Granitstraße,False,False,66.24518778643554,residential,,,False
11892233082,11108383592,0,1197172946,residential,Sonnenstraße,False,True,96.25299734715622,residential,,,False
11892233082,11108389551,0,1281280031,residential,,False,True,212.2574327295223,residential,,,False
